Educational Attainment,Location.1,Year,First Values
Population 25 years and over,Stewart County,2018,"9,525"
Population 25 years and over,Stewart County,2019,"9,613"
Population 25 years and over,Stewart County,2020,"9,689"
Population 25 years and over,Stewart County,2021,"9,647"
Population 25 years and over,Sullivan County,2016,"113,116"
Population 25 years and over,Sullivan County,2017,"113,348"
Population 25 years and over,Sullivan County,2018,"113,841"
Population 25 years and over,Sullivan County,2019,"114,478"
Population 25 years and over,Sullivan County,2020,"115,220"
Population 25 years and over,Sullivan County,2021,"115,505"
Population 25 years and over,Sumner County,2016,"116,882"
Population 25 years and over,Sumner County,2017,"119,289"
Population 25 years and over,Sumner County,2018,"122,537"
Population 25 years and over,Sumner County,2019,"125,677"
Population 25 years and over,Sumner County,2020,"129,174"
Population 25 years and over,Sumner County,2021,"132,873"
Population 25 years and over,Tennessee,2016,"4,427,340"
Population 25 years and over,Tennessee,2017,"4,478,450"
Population 25 years and over,Tennessee,2018,"4,530,706"
Population 25 years and over,Tennessee,2019,"4,587,393"
Population 25 years and over,Tennessee,2020,"4,649,847"
Population 25 years and over,Tennessee,2021,"4,708,480"
Population 25 years and over,Tipton County,2016,"40,282"
Population 25 years and over,Tipton County,2017,"40,435"
Population 25 years and over,Tipton County,2018,"40,804"
Population 25 years and over,Tipton County,2019,"41,092"
Population 25 years and over,Tipton County,2020,"41,359"
Population 25 years and over,Tipton County,2021,"40,903"
Population 25 years and over,Trousdale County,2016,"5,339"
Population 25 years and over,Trousdale County,2017,"5,999"
Population 25 years and over,Trousdale County,2018,"6,585"
Population 25 years and over,Trousdale County,2019,"7,196"
Population 25 years and over,Trousdale County,2020,"7,791"
Population 25 years and over,Trousdale County,2021,"7,960"
Population 25 years and over,Unicoi County,2016,"13,264"
Population 25 years and over,Unicoi County,2017,"13,171"
Population 25 years and over,Unicoi County,2018,"13,175"
Population 25 years and over,Unicoi County,2019,"13,390"
Population 25 years and over,Unicoi County,2020,"13,506"
Population 25 years and over,Unicoi County,2021,"13,458"
Population 25 years and over,Union County,2016,"13,326"
Population 25 years and over,Union County,2017,"13,463"
Population 25 years and over,Union County,2018,"13,615"
Population 25 years and over,Union County,2019,"13,833"
Population 25 years and over,Union County,2020,"13,937"
Population 25 years and over,Union County,2021,"13,843"
Population 25 years and over,Van Buren County,2016,"4,111"
Population 25 years and over,Van Buren County,2017,"4,160"
Population 25 years and over,Van Buren County,2018,"4,247"
Population 25 years and over,Van Buren County,2019,"4,281"
Population 25 years and over,Van Buren County,2020,"4,294"
Population 25 years and over,Van Buren County,2021,"4,485"
Population 25 years and over,Warren County,2016,"27,349"
Population 25 years and over,Warren County,2017,"27,431"
Population 25 years and over,Warren County,2018,"27,721"
Population 25 years and over,Warren County,2019,"27,890"
Population 25 years and over,Warren County,2020,"28,092"
Population 25 years and over,Warren County,2021,"27,979"
Population 25 years and over,Washington County,2016,"85,711"
Population 25 years and over,Washington County,2017,"86,310"
Population 25 years and over,Washington County,2018,"86,775"
Population 25 years and over,Washington County,2019,"87,624"
Population 25 years and over,Washington County,2020,"88,935"
Population 25 years and over,Washington County,2021,"91,126"
Population 25 years and over,Wayne County,2016,"12,371"
Population 25 years and over,Wayne County,2017,"12,263"
Population 25 years and over,Wayne County,2018,"12,196"
Population 25 years and over,Wayne County,2019,"12,351"
Population 25 years and over,Wayne County,2020,"12,552"
Population 25 years and over,Wayne County,2021,"12,400"
Population 25 years and over,Weakley County,2016,"21,485"
Population 25 years and over,Weakley County,2017,"21,476"
Population 25 years and over,Weakley County,2018,"21,485"
Population 25 years and over,Weakley County,2019,"21,492"
Population 25 years and over,Weakley County,2020,"21,552"
Population 25 years and over,Weakley County,2021,"21,386"
Population 25 years and over,White County,2016,"18,599"
Population 25 years and over,White County,2017,"18,577"
Population 25 years and over,White County,2018,"18,661"
Population 25 years and over,White County,2019,"18,790"
Population 25 years and over,White County,2020,"19,216"
Population 25 years and over,White County,2021,"19,206"
Population 25 years and over,Williamson County,2016,"133,044"
Population 25 years and over,Williamson County,2017,"137,338"
Population 25 years and over,Williamson County,2018,"141,690"
Population 25 years and over,Williamson County,2019,"146,345"
Population 25 years and over,Williamson County,2020,"151,799"
Population 25 years and over,Williamson County,2021,"158,362"
Population 25 years and over,Wilson County,2016,"85,573"
Population 25 years and over,Wilson County,2017,"88,039"
Population 25 years and over,Wilson County,2018,"90,948"
Population 25 years and over,Wilson County,2019,"93,870"
Population 25 years and over,Wilson County,2020,"96,648"
Population 25 years and over,Wilson County,2021,"99,352"
